call_transcript,label
I noticed a suspicious charge on my credit card because I suspect fraud.,0
My debit card has been stolen because it's been missing for a few days.,1
Can I change my credit card billing date due to incorrect charges.,0
Can you increase my credit card limit due to high interest charges.,0
I want to block my credit card due to a lost card.,0
I'd like to reissue my debit card as the card number is worn out.,1
I want to close my credit card due to high interest charges.,0
Can you increase my credit card limit due to incorrect charges.,0
I want to block my credit card because the old one is expired.,0
I want to block my credit card as I want better rewards.,0
I noticed a suspicious charge on my credit card as I want better rewards.,0
Can you increase my credit card limit as my address has changed.,0
"Hello, my debit card is not working since the magnetic strip is worn out.",1
I want to replace my debit card and I want it blocked and reissued.,1
Can you please help me with a debit card issue because it expired.,1
The chip on my debit card is broken and I want it blocked and reissued.,1
"Hello, my debit card is not working since it's cracked and unreadable.",1
How do I check my credit card balance since I got a promotional offer.,0
I think I dropped my debit card and need a new one.,1
Please help me activate my credit card due to incorrect charges.,0
I need a new debit card because it expired.,1
The chip on my debit card is broken as it's not being accepted at ATMs.,1
I want to block my credit card since I got a promotional offer.,0
My debit card is damaged because it's not working for online transactions.,1
"Hello, my debit card is not working as it's not being accepted at ATMs.",1
My debit card has been stolen since it's cracked and unreadable.,1
I want to redeem my credit card points since I got a promotional offer.,0
I think I dropped my debit card because it's not working for online transactions.,1
My debit card is damaged since the magnetic strip is worn out.,1
Can you increase my credit card limit because the old one is expired.,0
I have a query regarding my credit card bill since I haven’t received my latest bill.,0
I want to redeem my credit card points because the old one is expired.,0
The chip on my debit card is broken because it's been missing for a few days.,1
I need a new debit card as the card number is worn out.,1
Please help me activate my credit card since I got a promotional offer.,0
I'd like to reissue my debit card since it's cracked and unreadable.,1
I want to apply for a credit card because the old one is expired.,0
I want to close my credit card because I travel frequently.,0
"Hello, my debit card is not working and I want it blocked and reissued.",1
Please help me activate my credit card since I haven’t received my latest bill.,0
I want to redeem my credit card points because I suspect fraud.,0
I noticed a suspicious charge on my credit card since I got a promotional offer.,0
Can you increase my credit card limit since I got a promotional offer.,0
I think I dropped my debit card and I want it blocked and reissued.,1
How do I check my credit card balance due to incorrect charges.,0
I noticed a suspicious charge on my credit card due to a lost card.,0
Can you increase my credit card limit since I haven’t received my latest bill.,0
My debit card is damaged because it's been missing for a few days.,1
"Hi, I lost my debit card because it's not working for online transactions.",1
I want to block my credit card because I travel frequently.,0
I noticed a suspicious charge on my credit card due to high interest charges.,0
I'd like to reissue my debit card because it's not working for online transactions.,1
Please help me activate my credit card because the old one is expired.,0
How do I check my credit card balance as I want better rewards.,0
I need a new debit card and need a new one.,1
I want to replace my debit card because it expired.,1
I want to block my credit card due to incorrect charges.,0
I want to redeem my credit card points due to a lost card.,0
"Hi, I lost my debit card and I want it blocked and reissued.",1
I have a query regarding my credit card bill since I got a promotional offer.,0
I want to close my credit card since I got a promotional offer.,0
I noticed a suspicious charge on my credit card because I travel frequently.,0
Can you please help me with a debit card issue since the magnetic strip is worn out.,1
I want to apply for a credit card as my address has changed.,0
My debit card has been stolen as it's not being accepted at ATMs.,1
I want to close my credit card since I haven’t received my latest bill.,0
I think I dropped my debit card because it's been missing for a few days.,1
"Hi, I lost my debit card because it's been missing for a few days.",1
Can you please help me with a debit card issue since it's cracked and unreadable.,1
The chip on my debit card is broken since the magnetic strip is worn out.,1
How do I check my credit card balance since I haven’t received my latest bill.,0
I want to close my credit card as my address has changed.,0
I think I dropped my debit card since the magnetic strip is worn out.,1
My debit card has been stolen as the card number is worn out.,1
I think I dropped my debit card as the card number is worn out.,1
Can you please help me with a debit card issue because it got damaged.,1
Please help me activate my credit card as my address has changed.,0
"Hello, my debit card is not working because it got damaged.",1
I want to replace my debit card and need a new one.,1
How do I check my credit card balance as my address has changed.,0
Can I change my credit card billing date as I want better rewards.,0
I have a query regarding my credit card bill as I want better rewards.,0
"Hello, my debit card is not working because it expired.",1
My debit card is damaged since it's cracked and unreadable.,1
I'd like to reissue my debit card and need a new one.,1
Can you increase my credit card limit due to a lost card.,0
Can you please help me with a debit card issue and I want it blocked and reissued.,1
The chip on my debit card is broken and need a new one.,1
I have a query regarding my credit card bill because I suspect fraud.,0
I want to close my credit card due to incorrect charges.,0
"Hi, I lost my debit card and need a new one.",1
I want to redeem my credit card points since I haven’t received my latest bill.,0
My debit card is damaged as the card number is worn out.,1
Can you please help me with a debit card issue as it's not being accepted at ATMs.,1
I want to block my credit card due to high interest charges.,0
I want to replace my debit card as the card number is worn out.,1
Can I change my credit card billing date because I suspect fraud.,0
I want to redeem my credit card points because I travel frequently.,0
I have a query regarding my credit card bill as my address has changed.,0
My debit card is damaged and need a new one.,1
I want to close my credit card because I suspect fraud.,0
